Y,X1,X2,X3
155451912,591,671,392
6968016,848,33,249
5580310,155,383,94
52271166,194,489,551
75604914,363,551,378
89705052,694,258,501
40883236,529,278,278
363855492,693,598,878
284405088,814,502,696
50927580,979,306,170
64722240,908,80,891
302217500,625,547,884
835758,77,201,54
1451226,327,634,7
249201810,663,670,561
89925400,460,226,865
38149960,346,740,149
32935977,249,207,639
80830496,586,148,932
36278928,258,744,189
26967900,300,373,241
112464044,154,799,914
16959875,965,19,925
84278480,880,689,139
4724400,381,20,620
125216896,464,488,553
173817792,873,272,732
683496,6,863,132
183478224,974,564,334
4793850,9,795,670
79675134,407,354,553
34044200,340,646,155
375060,76,15,329
168890580,569,970,306
152490850,289,865,610
448519680,540,927,896
133947800,794,350,482
48426984,859,58,972
658980810,939,745,942
80990226,393,214,963
58254768,621,286,328
10094947,887,599,19
33869780,833,380,107
107842518,133,963,842
3875235,65,167,357
4700696,143,587,56
16612992,384,57,759
32700166,226,563,257
29265408,584,64,783
121722822,962,827,153
79037568,552,942,152
39583600,422,134,700
28557858,391,987,74
269475250,725,682,545
2128032,8,821,324
50592762,891,319,178
656208,147,31,144
169704288,754,432,521
9876738,134,79,933
3926468,322,91,134
4201584,542,408,19
27973188,318,162,543
57431542,986,371,157
46236940,340,239,569
80486780,395,421,484
34091260,196,809,215
21507444,348,763,81
76114071,531,157,913
87525186,329,439,606
171803511,327,549,957
45348660,155,301,972
24915030,997,35,714
295500150,495,810,737
85209684,987,226,382
280607712,748,638,588
47430000,255,240,775
180523728,324,594,938
74787867,571,243,539
232988400,729,470,680
4100000,205,125,160
76252620,123,892,695
11297520,52,852,255
276215901,853,437,741
62653108,524,589,203
58886240,185,686,464
297607860,957,710,438
34024074,321,226,469
5535660,94,65,906
16698000,484,50,690
261175992,987,388,682
59208840,876,751,90
429847920,808,690,771
119426334,543,277,794
294644,619,34,14
82745586,789,231,454
118440000,470,252,1000
107666328,392,861,319
14779872,444,76,438
183518400,663,692,400
